Energy[keV],Count,
0.000,0,
0.010,0,
0.020,0,
0.030,0,
0.040,0,
0.050,0,
0.060,0,
0.070,0,
0.080,757,
0.090,1377,
0.100,1889,
0.110,2182,
0.120,2566,
0.130,3036,
0.140,3842,
0.150,5476,
0.160,9104,
0.170,14448,
0.180,20719,
0.190,25247,
0.200,25707,
0.210,21576,
0.220,16136,
0.230,11489,
0.240,9114,
0.250,9203,
0.260,10569,
0.270,11762,
0.280,11557,
0.290,9773,
0.300,7223,
0.310,4863,
0.320,3475,
0.330,2706,
0.340,2520,
0.350,2717,
0.360,3001,
0.370,3684,
0.380,4228,
0.390,4417,
0.400,4331,
0.410,3633,
0.420,3006,
0.430,2604,
0.440,2405,
0.450,2538,
0.460,2936,
0.470,4160,
0.480,6517,
0.490,9953,
0.500,14512,
0.510,18452,
0.520,20269,
0.530,19224,
0.540,16014,
0.550,11697,
0.560,7941,
0.570,5053,
0.580,3374,
0.590,2403,
0.600,1847,
0.610,1793,
0.620,1753,
0.630,1936,
0.640,2027,
0.650,2176,
0.660,2157,
0.670,2027,
0.680,1898,
0.690,1781,
0.700,1723,
0.710,1589,
0.720,1648,
0.730,1592,
0.740,1594,
0.750,1564,
0.760,1647,
0.770,1615,
0.780,1625,
0.790,1592,
0.800,1679,
0.810,1704,
0.820,1548,
0.830,1621,
0.840,1622,
0.850,1578,
0.860,1656,
0.870,1710,
0.880,1800,
0.890,1974,
0.900,2190,
0.910,2473,
0.920,2598,
0.930,2673,
0.940,2527,
0.950,2408,
0.960,2097,
0.970,1844,
0.980,1815,
0.990,1687,
1.000,1621,
1.010,1577,
1.020,1601,
1.030,1565,
1.040,1517,
1.050,1663,
1.060,1624,
1.070,1661,
1.080,1665,
1.090,1726,
1.100,1831,
1.110,1788,
1.120,1756,
1.130,1734,
1.140,1687,
1.150,1705,
1.160,1644,
1.170,1541,
1.180,1510,
1.190,1613,
1.200,1550,
1.210,1543,
1.220,1574,
1.230,1641,
1.240,1645,
1.250,1583,
1.260,1608,
1.270,1724,
1.280,1755,
1.290,1726,
1.300,1803,
1.310,1643,
1.320,1681,
1.330,1659,
1.340,1714,
1.350,1646,
1.360,1645,
1.370,1566,
1.380,1589,
1.390,1606,
1.400,1563,
1.410,1536,
1.420,1541,
1.430,1558,
1.440,1562,
1.450,1553,
1.460,1611,
1.470,1651,
1.480,1618,
1.490,1593,
1.500,1587,
1.510,1552,
1.520,1610,
1.530,1549,
1.540,1543,
1.550,1450,
1.560,1485,
1.570,1468,
1.580,1421,
