Energy[keV],Count,
0.000,0,
0.010,0,
0.020,0,
0.030,0,
0.040,0,
0.050,0,
0.060,0,
0.070,0,
0.080,1503,
0.090,2620,
0.100,3677,
0.110,4915,
0.120,5730,
0.130,6898,
0.140,8562,
0.150,12655,
0.160,20434,
0.170,31852,
0.180,45524,
0.190,54627,
0.200,54675,
0.210,46688,
0.220,35359,
0.230,25930,
0.240,21568,
0.250,21971,
0.260,25151,
0.270,28099,
0.280,27657,
0.290,23623,
0.300,17505,
0.310,11560,
0.320,7588,
0.330,5810,
0.340,5066,
0.350,5186,
0.360,5719,
0.370,6546,
0.380,7336,
0.390,7606,
0.400,7093,
0.410,6248,
0.420,5369,
0.430,4669,
0.440,4451,
0.450,4704,
0.460,5415,
0.470,7290,
0.480,10825,
0.490,15690,
0.500,22466,
0.510,27991,
0.520,31151,
0.530,30098,
0.540,25797,
0.550,19892,
0.560,14338,
0.570,9702,
0.580,6844,
0.590,4947,
0.600,4095,
0.610,3853,
0.620,3720,
0.630,4112,
0.640,4374,
0.650,4507,
0.660,4600,
0.670,4363,
0.680,4203,
0.690,3863,
0.700,3574,
0.710,3597,
0.720,3472,
0.730,3439,
0.740,3538,
0.750,3416,
0.760,3546,
0.770,3430,
0.780,3422,
0.790,3426,
0.800,3503,
0.810,3475,
0.820,3437,
0.830,3477,
0.840,3498,
0.850,3529,
0.860,3430,
0.870,3607,
0.880,3931,
0.890,4120,
0.900,4648,
0.910,5160,
0.920,5510,
0.930,5544,
0.940,5502,
0.950,5154,
0.960,4648,
0.970,4247,
0.980,3858,
0.990,3545,
1.000,3408,
1.010,3351,
1.020,3419,
1.030,3446,
1.040,3446,
1.050,3491,
1.060,3611,
1.070,3731,
1.080,3756,
1.090,3906,
1.100,3883,
1.110,4086,
1.120,3905,
1.130,3901,
1.140,3804,
1.150,3701,
1.160,3516,
1.170,3503,
1.180,3508,
1.190,3480,
1.200,3500,
1.210,3354,
1.220,3325,
1.230,3428,
1.240,3421,
1.250,3529,
1.260,3577,
1.270,3775,
1.280,3683,
1.290,3756,
1.300,3685,
1.310,3594,
1.320,3547,
1.330,3608,
1.340,3546,
1.350,3618,
1.360,3494,
1.370,3611,
1.380,3419,
1.390,3550,
1.400,3409,
1.410,3442,
1.420,3473,
1.430,3490,
1.440,3494,
1.450,3494,
1.460,3640,
1.470,3615,
1.480,3713,
1.490,3671,
1.500,3633,
1.510,3579,
1.520,3592,
1.530,3586,
1.540,3421,
1.550,3376,
1.560,3373,
1.570,3247,
