Energy[keV],Count,
0.000,0,
0.010,0,
0.020,0,
0.030,0,
0.040,0,
0.050,0,
0.060,0,
0.070,0,
0.080,978,
0.090,1673,
0.100,2350,
0.110,3096,
0.120,3882,
0.130,4740,
0.140,6116,
0.150,9032,
0.160,13891,
0.170,20817,
0.180,28150,
0.190,33023,
0.200,33418,
0.210,29503,
0.220,23646,
0.230,19030,
0.240,17761,
0.250,19417,
0.260,22645,
0.270,25619,
0.280,25189,
0.290,21637,
0.300,15801,
0.310,10565,
0.320,6418,
0.330,4346,
0.340,3325,
0.350,2964,
0.360,3064,
0.370,3240,
0.380,3590,
0.390,3553,
0.400,3429,
0.410,3081,
0.420,2777,
0.430,2620,
0.440,2541,
0.450,2535,
0.460,3038,
0.470,3713,
0.480,4997,
0.490,7040,
0.500,9433,
0.510,11799,
0.520,13243,
0.530,13262,
0.540,12246,
0.550,10120,
0.560,8276,
0.570,6215,
0.580,4664,
0.590,3570,
0.600,2885,
0.610,2708,
0.620,2772,
0.630,2964,
0.640,3242,
0.650,3294,
0.660,3382,
0.670,3198,
0.680,2928,
0.690,2702,
0.700,2531,
0.710,2467,
0.720,2404,
0.730,2531,
0.740,2399,
0.750,2412,
0.760,2453,
0.770,2380,
0.780,2474,
0.790,2514,
0.800,2471,
0.810,2531,
0.820,2534,
0.830,2474,
0.840,2411,
0.850,2532,
0.860,2634,
0.870,2621,
0.880,2787,
0.890,3189,
0.900,3695,
0.910,4048,
0.920,4281,
0.930,4463,
0.940,4234,
0.950,3935,
0.960,3620,
0.970,3272,
0.980,2840,
0.990,2633,
1.000,2588,
1.010,2502,
1.020,2428,
1.030,2518,
1.040,2498,
1.050,2623,
1.060,2638,
1.070,2710,
1.080,2800,
1.090,2969,
1.100,2906,
1.110,2965,
1.120,2912,
1.130,2893,
1.140,2854,
1.150,2846,
1.160,2682,
1.170,2764,
1.180,2745,
1.190,2779,
1.200,2813,
1.210,2909,
1.220,2885,
1.230,2912,
1.240,2899,
1.250,2918,
1.260,2972,
1.270,3024,
1.280,3038,
1.290,3043,
1.300,3124,
1.310,2932,
1.320,2958,
1.330,2987,
1.340,2962,
1.350,3015,
1.360,2942,
1.370,2888,
1.380,2930,
1.390,2978,
1.400,2898,
1.410,2853,
1.420,2981,
1.430,2835,
1.440,2921,
1.450,2966,
1.460,2924,
1.470,3035,
1.480,3061,
1.490,3154,
1.500,3042,
1.510,3009,
1.520,2849,
1.530,2798,
1.540,2957,
1.550,2761,
1.560,2847,
1.570,2819,
1.580,2826,
