Energy[keV],Count,
1.590,1717,
1.600,1773,
1.610,1698,
1.620,1772,
1.630,1665,
1.640,1630,
1.650,1588,
1.660,1688,
1.670,1701,
1.680,1768,
1.690,1782,
1.700,1814,
1.710,1901,
1.720,1873,
1.730,1878,
1.740,1962,
1.750,1992,
1.760,1845,
1.770,1866,
1.780,1920,
1.790,1841,
1.800,1749,
1.810,1745,
1.820,1683,
1.830,1724,
1.840,1576,
1.850,1676,
1.860,1616,
1.870,1625,
1.880,1661,
1.890,1657,
1.900,1571,
1.910,1700,
1.920,1812,
1.930,1914,
1.940,2102,
1.950,2338,
1.960,2797,
1.970,3299,
1.980,3869,
1.990,4411,
2.000,5013,
2.010,5446,
2.020,5652,
2.030,5559,
2.040,5213,
2.050,4832,
2.060,4206,
2.070,3741,
2.080,3498,
2.090,3440,
2.100,3460,
2.110,3349,
2.120,3316,
2.130,3462,
2.140,3328,
2.150,3215,
2.160,3205,
2.170,3414,
2.180,4005,
2.190,4757,
2.200,6521,
2.210,9231,
2.220,14206,
2.230,21225,
2.240,30887,
2.250,43062,
2.260,56958,
2.270,70671,
2.280,83529,
2.290,91070,
2.300,93485,
2.310,89453,
2.320,80974,
2.330,70590,
2.340,60217,
2.350,51799,
2.360,45930,
2.370,43292,
2.380,42734,
2.390,42014,
2.400,41431,
2.410,38984,
2.420,35837,
2.430,31396,
2.440,26725,
2.450,22194,
2.460,18453,
2.470,15514,
2.480,13073,
2.490,11182,
2.500,9968,
2.510,8684,
2.520,7647,
2.530,6611,
2.540,5579,
2.550,4933,
2.560,4161,
2.570,3812,
2.580,3353,
2.590,3094,
2.600,2745,
2.610,2673,
2.620,2540,
2.630,2339,
2.640,2277,
2.650,2121,
2.660,1966,
2.670,1743,
2.680,1439,
2.690,1367,
2.700,1189,
2.710,1099,
2.720,1042,
2.730,1052,
2.740,1046,
2.750,1055,
2.760,1116,
2.770,1184,
2.780,1207,
2.790,1395,
2.800,1506,
2.810,1612,
2.820,1595,
2.830,1688,
2.840,1678,
2.850,1758,
2.860,1489,
2.870,1550,
2.880,1432,
2.890,1218,
2.900,1165,
2.910,1091,
2.920,962,
2.930,895,
2.940,878,
2.950,891,
2.960,867,
2.970,865,
2.980,863,
2.990,812,
3.000,850,
3.010,883,
3.020,834,
3.030,851,
3.040,839,
3.050,853,
3.060,800,
3.070,831,
3.080,783,
3.090,798,
3.100,844,
3.110,828,
3.120,825,
3.130,804,
3.140,863,
3.150,813,
3.160,858,
3.170,808,
3.180,883,
3.190,845,
3.200,799,
3.210,847,
3.220,826,
3.230,837,
3.240,792,
3.250,791,
3.260,763,
3.270,824,
3.280,820,
3.290,831,
3.300,855,
3.310,837,
3.320,824,
3.330,860,
3.340,853,
3.350,785,
3.360,817,
3.370,799,
3.380,782,
3.390,794,
3.400,884,
3.410,848,
3.420,796,
3.430,827,
3.440,779,
3.450,830,
3.460,835,
3.470,808,
3.480,789,
3.490,774,
3.500,783,
3.510,874,
3.520,825,
3.530,796,
3.540,810,
3.550,758,
3.560,826,
3.570,811,
3.580,850,
3.590,804,
3.600,821,
3.610,803,
3.620,802,
3.630,838,
3.640,821,
3.650,843,
3.660,823,
3.670,851,
3.680,794,
3.690,841,
3.700,821,
3.710,831,
3.720,812,
3.730,823,
3.740,824,
3.750,805,
3.760,846,
3.770,821,
3.780,823,
3.790,800,
3.800,815,
3.810,831,
3.820,797,
3.830,793,
3.840,803,
3.850,820,
3.860,809,
3.870,771,
3.880,881,
3.890,796,
3.900,840,
3.910,822,
3.920,828,
3.930,788,
3.940,855,
3.950,840,
3.960,820,
3.970,855,
3.980,881,
3.990,851,
4.000,820,
4.010,854,
4.020,826,
4.030,806,
4.040,881,
4.050,838,
4.060,844,
4.070,864,
4.080,832,
4.090,878,
4.100,822,
4.110,796,
4.120,831,
4.130,834,
4.140,787,
4.150,771,
4.160,839,
4.170,835,
4.180,803,
4.190,852,
4.200,845,
4.210,869,
4.220,833,
4.230,835,
4.240,830,
4.250,791,
4.260,848,
4.270,820,
4.280,877,
4.290,841,
4.300,806,
4.310,827,
4.320,852,
4.330,810,
4.340,888,
4.350,820,
4.360,847,
4.370,793,
4.380,803,
4.390,867,
4.400,816,
4.410,842,
4.420,835,
4.430,847,
4.440,898,
4.450,907,
4.460,844,
4.470,805,
4.480,874,
4.490,902,
4.500,904,
4.510,892,
4.520,920,
4.530,919,
4.540,925,
4.550,926,
4.560,1004,
4.570,907,
4.580,932,
4.590,888,
4.600,877,
4.610,901,
4.620,916,
4.630,859,
4.640,958,
4.650,890,
4.660,892,
4.670,900,
4.680,817,
4.690,889,
4.700,871,
4.710,878,
4.720,824,
4.730,803,
4.740,839,
4.750,789,
4.760,831,
4.770,816,
4.780,879,
4.790,789,
4.800,820,
4.810,810,
4.820,772,
4.830,739,
4.840,745,
4.850,808,
4.860,747,
4.870,805,
4.880,755,
4.890,833,
4.900,780,
4.910,798,
4.920,786,
4.930,744,
4.940,759,
4.950,733,
4.960,803,
4.970,773,
4.980,785,
4.990,725,
5.000,738,
5.010,758,
5.020,704,
5.030,734,
5.040,747,
5.050,709,
5.060,708,
5.070,748,
5.080,727,
5.090,728,
5.100,757,
5.110,726,
5.120,703,
5.130,726,
5.140,700,
5.150,725,
5.160,720,
5.170,739,
5.180,756,
5.190,741,
5.200,714,
5.210,741,
5.220,727,
5.230,677,
5.240,705,
5.250,711,
5.260,713,
5.270,728,
5.280,722,
5.290,814,
5.300,785,
5.310,897,
5.320,854,
5.330,997,
5.340,1197,
5.350,1164,
5.360,1343,
5.370,1467,
5.380,1599,
5.390,1789,
5.400,1880,
5.410,1909,
5.420,1947,
5.430,1932,
5.440,1818,
5.450,1697,
5.460,1660,
5.470,1406,
5.480,1281,
5.490,1152,
5.500,1037,
5.510,944,
5.520,899,
5.530,797,
5.540,785,
5.550,741,
5.560,708,
5.570,739,
5.580,740,
5.590,715,
5.600,685,
5.610,690,
5.620,685,
5.630,682,
5.640,715,
5.650,690,
5.660,692,
5.670,707,
5.680,638,
5.690,671,
5.700,681,
5.710,682,
5.720,674,
5.730,623,
5.740,690,
5.750,668,
5.760,633,
5.770,672,
5.780,643,
5.790,674,
5.800,683,
5.810,689,
5.820,668,
5.830,713,
5.840,721,
5.850,675,
5.860,675,
5.870,695,
5.880,766,
5.890,780,
5.900,792,
5.910,794,
5.920,838,
5.930,831,
5.940,839,
5.950,778,
5.960,807,
5.970,831,
5.980,827,
5.990,774,
6.000,812,
6.010,737,
6.020,740,
6.030,708,
6.040,705,
6.050,680,
6.060,654,
6.070,693,
6.080,726,
6.090,662,
6.100,630,
6.110,685,
6.120,651,
6.130,613,
6.140,664,
6.150,669,
6.160,651,
6.170,699,
6.180,649,
6.190,678,
6.200,698,
6.210,674,
6.220,677,
6.230,696,
6.240,714,
6.250,698,
6.260,706,
6.270,715,
6.280,775,
6.290,792,
6.300,814,
6.310,845,
6.320,939,
6.330,1023,
6.340,1096,
6.350,1263,
6.360,1282,
6.370,1414,
6.380,1420,
6.390,1556,
6.400,1500,
6.410,1536,
6.420,1533,
6.430,1513,
6.440,1394,
6.450,1331,
6.460,1181,
6.470,1114,
6.480,1025,
6.490,960,
6.500,823,
6.510,774,
6.520,710,
6.530,727,
6.540,720,
6.550,679,
6.560,675,
6.570,676,
6.580,630,
6.590,645,
6.600,703,
6.610,694,
6.620,664,
6.630,596,
6.640,609,
6.650,610,
6.660,613,
6.670,612,
6.680,637,
6.690,647,
6.700,605,
6.710,609,
6.720,674,
6.730,618,
6.740,632,
6.750,659,
6.760,591,
6.770,623,
6.780,639,
6.790,655,
6.800,670,
6.810,716,
6.820,734,
6.830,823,
6.840,910,
6.850,980,
6.860,1077,
6.870,1186,
6.880,1363,
6.890,1339,
6.900,1535,
6.910,1528,
6.920,1612,
6.930,1732,
6.940,1645,
6.950,1622,
6.960,1534,
6.970,1505,
6.980,1337,
6.990,1316,
7.000,1200,
7.010,1141,
7.020,1068,
7.030,940,
7.040,926,
7.050,858,
7.060,802,
7.070,820,
7.080,762,
7.090,770,
7.100,706,
7.110,667,
7.120,712,
7.130,706,
7.140,648,
7.150,651,
7.160,649,
7.170,631,
7.180,593,
7.190,614,
7.200,614,
7.210,641,
7.220,566,
7.230,543,
7.240,609,
7.250,559,
7.260,575,
7.270,610,
7.280,571,
7.290,554,
7.300,578,
7.310,551,
7.320,558,
7.330,576,
7.340,593,
7.350,525,
7.360,566,
7.370,555,
7.380,600,
7.390,549,
7.400,566,
7.410,573,
7.420,549,
7.430,584,
7.440,578,
7.450,588,
7.460,585,
7.470,558,
7.480,591,
7.490,577,
7.500,584,
7.510,558,
7.520,587,
7.530,577,
7.540,565,
7.550,597,
7.560,622,
7.570,595,
7.580,634,
7.590,651,
7.600,604,
7.610,630,
7.620,607,
7.630,598,
7.640,613,
7.650,683,
7.660,624,
7.670,640,
7.680,622,
7.690,630,
7.700,606,
7.710,684,
7.720,592,
7.730,637,
7.740,632,
7.750,577,
7.760,599,
7.770,620,
7.780,582,
7.790,544,
7.800,619,
7.810,584,
7.820,608,
7.830,620,
7.840,613,
7.850,726,
7.860,815,
7.870,834,
7.880,911,
7.890,1155,
7.900,1361,
7.910,1604,
7.920,2017,
7.930,2619,
7.940,3217,
7.950,4002,
7.960,4757,
7.970,5923,
7.980,7025,
7.990,7900,
8.000,8978,
8.010,9929,
8.020,10908,
8.030,11254,
8.040,11707,
