Mon Jan 13 19:31:41 2020

Number of Points = 2996
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.757494	0.142000	0.000000	0.000024	0.489587

1.711142	0.160404	0.005005	0.000032	0.489595
1.677491	0.168884	0.010010	0.000038	0.489585
1.773978	0.136890	0.015014	0.000020	0.489593
1.838714	0.058654	0.020019	0.000009	0.489415
1.691709	0.069104	0.025024	0.000035	0.489282
1.838532	0.013037	0.030029	0.000008	0.489269
1.964429	-0.027892	0.035034	-0.000015	0.489282
1.892670	-0.037675	0.040038	-0.000002	0.489169
1.831603	-0.074764	0.045043	0.000009	0.488981
1.921997	-0.110041	0.050048	-0.000007	0.488971
1.841872	-0.164690	0.055053	0.000007	0.488703
1.891647	-0.201916	0.060058	-0.000002	0.488641
1.689541	-0.193924	0.065062	0.000034	0.488437
1.699403	-0.227366	0.070067	0.000032	0.488341
1.761728	-0.311848	0.075072	0.000021	0.488139
1.683229	-0.317186	0.080077	0.000035	0.488033
1.808045	-0.434601	0.085082	0.000012	0.487797
1.632488	-0.429618	0.090086	0.000044	0.487613
1.723845	-0.514674	0.095091	0.000027	0.487443
1.669553	-0.588146	0.100096	0.000036	0.487143
1.657096	-0.653219	0.105101	0.000039	0.486918
1.570637	-0.693679	0.110106	0.000054	0.486689
1.719947	-0.820634	0.115110	0.000027	0.486448
1.716518	-0.912440	0.120115	0.000027	0.486147
1.706910	-0.999229	0.125120	0.000029	0.485854
1.537687	-1.031610	0.130125	0.000059	0.485555
1.655747	-1.167760	0.135130	0.000038	0.485248
1.516952	-1.222585	0.140134	0.000063	0.484911
1.441499	-1.290027	0.145139	0.000076	0.484605
1.488882	-1.412933	0.150144	0.000068	0.484259
1.477804	-1.510636	0.155149	0.000069	0.483928
1.382005	-1.585611	0.160154	0.000087	0.483574
1.397348	-1.696183	0.165158	0.000084	0.483231
1.444616	-1.817378	0.170163	0.000075	0.482889
1.186225	-1.846293	0.175168	0.000121	0.482497
1.007892	-1.906171	0.180173	0.000153	0.482095
1.045318	-2.030376	0.185178	0.000147	0.481732
0.707448	-2.025666	0.190182	0.000207	0.481357
0.672786	-2.120245	0.195187	0.000214	0.481007
0.417116	-2.144360	0.200192	0.000260	0.480632
0.405952	-2.253331	0.205197	0.000261	0.480261
0.112519	-2.264649	0.210202	0.000314	0.479884
0.139813	-2.382157	0.215206	0.000309	0.479529
-0.159079	-2.386479	0.220211	0.000363	0.479168
-0.144948	-2.495228	0.225216	0.000360	0.478827
-0.394730	-2.520212	0.230221	0.000405	0.478454
-0.517451	-2.580224	0.235226	0.000427	0.478113
-0.899261	-2.537288	0.240230	0.000496	0.477811
-1.114159	-2.562156	0.245235	0.000535	0.477478
-1.159474	-2.645594	0.250240	0.000543	0.477150
-1.352324	-2.673651	0.255245	0.000578	0.476832
-1.677936	-2.648357	0.260250	0.000636	0.476536
-2.093462	-2.587220	0.265254	0.000711	0.476254
-2.244738	-2.625307	0.270259	0.000738	0.475951
-2.275271	-2.695103	0.275264	0.000744	0.475684
-2.589266	-2.670041	0.280269	0.000800	0.475400
-2.828235	-2.660125	0.285274	0.000843	0.475154
-2.976325	-2.679400	0.290278	0.000870	0.474917
-3.175606	-2.679249	0.295283	0.000906	0.474684
-3.433923	-2.679080	0.300288	0.000952	0.474382
-3.493652	-2.713345	0.305293	0.000963	0.474198
-3.694967	-2.700972	0.310298	0.000999	0.474004
-4.068407	-2.647555	0.315302	0.001066	0.473743
-4.291405	-2.632160	0.320307	0.001106	0.473533
-4.428683	-2.611373	0.325312	0.001131	0.473442
