Mon Jan 13 19:14:45 2020

Number of Points = 3016
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.011023	-0.041428	0.000000	-0.000020	0.495501

0.918531	-0.007086	0.005005	-0.000003	0.495508
0.836986	-0.011181	0.010010	0.000011	0.495405
0.933006	-0.108228	0.015014	-0.000007	0.495205
0.794388	-0.062562	0.020019	0.000018	0.495197
0.894241	-0.095713	0.025024	-0.000000	0.495205
0.913749	-0.104582	0.030029	-0.000004	0.495200
0.900407	-0.120499	0.035034	-0.000002	0.495136
0.779130	-0.162492	0.040038	0.000020	0.494867
0.883095	-0.194739	0.045043	0.000001	0.494883
0.865659	-0.229681	0.050048	0.000003	0.494754
0.999102	-0.335729	0.055053	-0.000021	0.494567
0.831568	-0.302396	0.060058	0.000009	0.494487
0.964667	-0.422606	0.065062	-0.000015	0.494254
0.868870	-0.426848	0.070067	0.000002	0.494134
0.874027	-0.484598	0.075072	0.000000	0.493957
0.995435	-0.605786	0.080077	-0.000022	0.493708
0.869715	-0.614157	0.085082	0.000001	0.493540
0.754846	-0.644069	0.090086	0.000021	0.493317
0.925820	-0.787532	0.095091	-0.000010	0.493052
0.934541	-0.853227	0.100096	-0.000012	0.492853
0.956318	-0.935469	0.105101	-0.000016	0.492615
0.845949	-0.985140	0.110106	0.000004	0.492332
0.918646	-1.099059	0.115110	-0.000010	0.492050
0.760962	-1.140900	0.120115	0.000018	0.491739
0.824328	-1.252782	0.125120	0.000007	0.491453
0.803081	-1.349780	0.130125	0.000010	0.491118
0.769147	-1.436023	0.135130	0.000016	0.490803
0.854197	-1.575358	0.140134	0.000000	0.490453
0.635652	-1.602969	0.145139	0.000040	0.490117
0.673983	-1.730138	0.150144	0.000032	0.489752
0.525802	-1.783216	0.155149	0.000059	0.489413
0.644565	-1.940199	0.160154	0.000037	0.489043
0.557132	-2.028021	0.165158	0.000053	0.488661
0.591511	-2.169578	0.170163	0.000046	0.488243
0.469230	-2.229009	0.175168	0.000068	0.487913
0.538100	-2.371176	0.180173	0.000055	0.487532
0.474180	-2.493660	0.185178	0.000066	0.487064
0.565928	-2.652778	0.190182	0.000050	0.486653
0.535534	-2.776532	0.195187	0.000055	0.486218
0.575525	-2.941317	0.200192	0.000047	0.485729
0.443185	-3.033418	0.205197	0.000071	0.485279
0.357246	-3.157215	0.210202	0.000086	0.484778
0.316008	-3.289974	0.215206	0.000093	0.484299
0.124746	-3.368646	0.220211	0.000128	0.483824
-0.311025	-3.358927	0.225216	0.000206	0.483355
-1.273729	-3.141132	0.230221	0.000380	0.482958
-1.135405	-3.293037	0.235226	0.000354	0.482622
-1.804634	-3.173770	0.240230	0.000475	0.482241
-1.938582	-3.228689	0.245235	0.000499	0.481908
-2.610641	-3.095547	0.250240	0.000620	0.481569
-2.526162	-3.210753	0.255245	0.000605	0.481290
-3.107167	-3.095229	0.260250	0.000709	0.480998
-3.094176	-3.172351	0.265254	0.000707	0.480761
-3.580420	-3.077497	0.270259	0.000794	0.480511
-3.468657	-3.187151	0.275264	0.000774	0.480282
-3.840616	-3.156331	0.280269	0.000841	0.479953
-3.968997	-3.174908	0.285274	0.000864	0.479744
-4.365734	-3.092836	0.290278	0.000935	0.479555
-4.344137	-3.165930	0.295283	0.000931	0.479341
-4.459914	-3.209256	0.300288	0.000951	0.479065
-4.639259	-3.201284	0.305293	0.000984	0.478884
-5.373118	-2.999555	0.310298	0.001116	0.478698
-4.942845	-3.214426	0.315302	0.001038	0.478491
-5.329306	-3.120308	0.320307	0.001107	0.478353
-5.517418	-3.133173	0.325312	0.001141	0.478093
-5.638035	-3.123153	0.330317	0.001163	0.477988
-5.763087	-3.123466	0.335322	0.001185	0.477842
-6.055534	-3.090332	0.340326	0.001237	0.477612
-5.951943	-3.157348	0.345331	0.001218	0.477513
-6.512094	-3.045575	0.350336	0.001319	0.477231
-6.249942	-3.145914	0.355341	0.001272	0.477207
-6.737843	-3.071574	0.360346	0.001360	0.476885
-6.605656	-3.119616	0.365350	0.001335	0.476882
-7.202259	-3.002969	0.370355	0.001443	0.476572
-6.723466	-3.169559	0.375360	0.001356	0.476582
-7.278135	-3.071165	0.380365	0.001456	0.476261
-7.060223	-3.151612	0.385370	0.001416	0.476251
-7.595451	-3.059137	0.390374	0.001513	0.475933
-7.205002	-3.196067	0.395379	0.001442	0.475937
-7.766529	-3.091964	0.400384	0.001543	0.475627
-7.574337	-3.168828	0.405389	0.001508	0.475598
-8.094639	-3.071717	0.410394	0.001602	0.475313
-7.750236	-3.202457	0.415398	0.001539	0.475284
-8.347602	-3.080123	0.420403	0.001647	0.474992
-8.220284	-3.127653	0.425408	0.001624	0.474985
-8.743389	-3.033314	0.430413	0.001718	0.474686
-8.388077	-3.158502	0.435418	0.001653	0.474689
-8.729104	-3.124310	0.440422	0.001715	0.474404
-8.739473	-3.128261	0.445427	0.001716	0.474380
-9.274064	-3.019663	0.450432	0.001813	0.474115
-9.022004	-3.119826	0.455437	0.001767	0.474080
-9.263588	-3.097398	0.460442	0.001810	0.473872
-9.395232	-3.085735	0.465446	0.001834	0.473758
-9.611405	-3.050910	0.470451	0.001872	0.473621
-9.457902	-3.159383	0.475456	0.001844	0.473442
-9.711016	-3.101275	0.480461	0.001890	0.473339
-10.009804	-3.057230	0.485466	0.001943	0.473136
-10.136499	-3.017134	0.490470	0.001966	0.473123
-9.990837	-3.140758	0.495475	0.001939	0.472883
-10.182082	-3.077590	0.500480	0.001974	0.472871
-10.363150	-3.108024	0.505485	0.002006	0.472557
-10.635912	-3.019970	0.510490	0.002055	0.472532
-10.537906	-3.127139	0.515494	0.002037	0.472290
-10.799340	-3.056038	0.520499	0.002084	0.472222
-10.803747	-3.115024	0.525504	0.002085	0.472021
-11.121205	-3.041120	0.530509	0.002142	0.471895
-11.132709	-3.084299	0.535514	0.002143	0.471738
-11.453072	-3.011860	0.540518	0.002201	0.471604
-11.184180	-3.137688	0.545523	0.002152	0.471502
-11.773106	-2.997074	0.550528	0.002258	0.471279
-11.422242	-3.131980	0.555533	0.002195	0.471243
-11.918345	-3.037055	0.560538	0.002284	0.470976
-11.590169	-3.159017	0.565542	0.002224	0.470957
-12.170728	-3.044583	0.570547	0.002329	0.470656
-12.016969	-3.095028	0.575552	0.002301	0.470670
-12.263527	-3.100179	0.580557	0.002345	0.470363
-12.308463	-3.083374	0.585562	0.002353	0.470368
-12.713101	-3.029669	0.590566	0.002426	0.470070
-12.522619	-3.107205	0.595571	0.002391	0.470037
-12.839318	-3.062837	0.600576	0.002448	0.469812
-13.135808	-2.983915	0.605581	0.002501	0.469728
-13.219122	-2.978547	0.610586	0.002516	0.469649
-13.262438	-3.034349	0.615590	0.002524	0.469411
-13.228445	-3.050388	0.620595	0.002517	0.469400
-13.437634	-3.058855	0.625600	0.002555	0.469124
-13.470154	-3.053837	0.630605	0.002560	0.469104
-13.713350	-3.048765	0.635610	0.002604	0.468834
-13.833173	-3.025584	0.640614	0.002625	0.468771
-13.879756	-3.065460	0.645619	0.002633	0.468583
-14.239125	-2.973705	0.650624	0.002698	0.468467
-13.966124	-3.105497	0.655629	0.002648	0.468349
-14.334248	-3.031580	0.660634	0.002715	0.468162
