Mon Jan 13 19:20:22 2020

Number of Points = 3013
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-23.269936	-2.647672	1.100928	0.004348	0.457563
-23.354736	-2.624377	1.110925	0.004363	0.457543
-23.272284	-2.626734	1.120922	0.004348	0.457638
-23.320452	-2.609315	1.130918	0.004356	0.457643
-23.166998	-2.664126	1.140915	0.004328	0.457643
-23.253341	-2.631634	1.150912	0.004343	0.457653
-23.257796	-2.632462	1.160909	0.004344	0.457647
-23.208246	-2.653473	1.170906	0.004334	0.457638
-23.016421	-2.639902	1.180902	0.004299	0.457922
-22.825885	-2.691788	1.190899	0.004264	0.457977
-22.855508	-2.680922	1.200896	0.004269	0.457981
-22.882568	-2.674386	1.210893	0.004274	0.457974
-22.862091	-2.679670	1.220890	0.004270	0.457983
-22.919287	-2.662005	1.230886	0.004280	0.457977
-22.812658	-2.645869	1.240883	0.004260	0.458166
-22.516819	-2.733280	1.250880	0.004206	0.458227
-22.687694	-2.673620	1.260877	0.004237	0.458228
-22.636008	-2.693091	1.270874	0.004227	0.458226
-22.743100	-2.632550	1.280870	0.004246	0.458308
-22.364614	-2.700063	1.290867	0.004177	0.458538
-22.479199	-2.659752	1.300864	0.004197	0.458541
-22.306468	-2.720922	1.310861	0.004166	0.458543
-22.295195	-2.725966	1.320858	0.004163	0.458542
-22.024407	-2.765968	1.330854	0.004114	0.458736
-22.084083	-2.714744	1.340851	0.004124	0.458843
-22.085167	-2.714398	1.350848	0.004124	0.458846
-22.192268	-2.676082	1.360845	0.004143	0.458850
-22.164493	-2.663238	1.370842	0.004138	0.458931
-21.990176	-2.656438	1.380838	0.004106	0.459169
-21.831660	-2.710868	1.390835	0.004077	0.459177
-21.935717	-2.677072	1.400832	0.004095	0.459170
-21.693335	-2.688238	1.410829	0.004051	0.459429
-21.642402	-2.697009	1.420826	0.004041	0.459463
-21.535373	-2.732036	1.430822	0.004021	0.459475
-21.694772	-2.678105	1.440819	0.004050	0.459470
-21.464483	-2.723968	1.450816	0.004008	0.459595
-21.276925	-2.734905	1.460813	0.003974	0.459788
-21.362215	-2.706393	1.470810	0.003989	0.459785
-21.451528	-2.677269	1.480806	0.004004	0.459779
-21.196319	-2.756034	1.490803	0.003958	0.459821
-21.069483	-2.721272	1.500800	0.003934	0.460097
-21.060677	-2.724652	1.510797	0.003932	0.460099
-21.140510	-2.696522	1.520794	0.003946	0.460102
-21.165494	-2.677632	1.530790	0.003951	0.460139
-20.945307	-2.673827	1.540787	0.003910	0.460422
-20.899173	-2.688397	1.550784	0.003902	0.460431
-20.902252	-2.687458	1.560781	0.003902	0.460433
-20.763791	-2.688874	1.570778	0.003876	0.460599
-20.737289	-2.658304	1.580774	0.003871	0.460739
-20.628450	-2.700977	1.590771	0.003851	0.460727
-20.812932	-2.623403	1.600768	0.003884	0.460772
-20.319255	-2.717731	1.610765	0.003794	0.461049
-20.336741	-2.712141	1.620762	0.003797	0.461050
-20.349218	-2.711187	1.630758	0.003799	0.461041
-20.408751	-2.690684	1.640755	0.003809	0.461042
-20.172290	-2.698104	1.650752	0.003766	0.461305
-20.216409	-2.669725	1.660749	0.003774	0.461352
-20.040122	-2.732438	1.670746	0.003741	0.461353
-20.144201	-2.695548	1.680742	0.003760	0.461356
-19.947578	-2.702251	1.690739	0.003724	0.461574
-19.888989	-2.694061	1.700736	0.003713	0.461676
-19.938953	-2.677481	1.710733	0.003722	0.461675
-19.814458	-2.720384	1.720730	0.003699	0.461681
-19.763704	-2.696927	1.730726	0.003689	0.461825
-19.583131	-2.717465	1.740723	0.003656	0.461976
-19.682712	-2.682080	1.750720	0.003674	0.461980
-19.645474	-2.694940	1.760717	0.003666	0.461983
-19.462493	-2.730698	1.770714	0.003633	0.462085
-19.171056	-2.771010	1.780710	0.003580	0.462301
-19.240728	-2.749760	1.790707	0.003592	0.462293
-19.395095	-2.695265	1.800704	0.003620	0.462296
-19.311044	-2.723931	1.810701	0.003604	0.462302
-19.144323	-2.717658	1.820698	0.003573	0.462527
-19.094488	-2.709904	1.830694	0.003564	0.462617
-19.106203	-2.706818	1.840691	0.003566	0.462616
-19.018457	-2.738397	1.850688	0.003549	0.462616
-18.927595	-2.695683	1.860685	0.003533	0.462875
-18.773721	-2.730795	1.870682	0.003504	0.462943
-18.939610	-2.671720	1.880678	0.003534	0.462948
-18.788982	-2.726968	1.890675	0.003506	0.462943
-18.656366	-2.711189	1.900672	0.003482	0.463160
-18.531000	-2.740669	1.910669	0.003459	0.463213
-18.650929	-2.699728	1.920666	0.003480	0.463211
-18.571633	-2.729149	1.930662	0.003465	0.463209
-18.437709	-2.696825	1.940659	0.003441	0.463483
-18.338498	-2.721290	1.950656	0.003423	0.463522
-18.330073	-2.724520	1.960653	0.003421	0.463524
-18.354317	-2.717643	1.970650	0.003425	0.463521
-18.234655	-2.674967	1.980646	0.003403	0.463813
-18.038387	-2.741941	1.990643	0.003367	0.463824
-18.183679	-2.691437	2.000640	0.003392	0.463824
-17.965231	-2.764037	2.010637	0.003353	0.463842
-17.803692	-2.730090	2.020634	0.003323	0.464155
-17.656976	-2.782676	2.030630	0.003296	0.464154
-17.978959	-2.670953	2.040627	0.003354	0.464151
-17.604596	-2.802550	2.050624	0.003286	0.464155
-17.794312	-2.698632	2.060621	0.003320	0.464284
-17.514548	-2.748359	2.070618	0.003269	0.464454
-17.483322	-2.760514	2.080614	0.003263	0.464452
-17.387935	-2.795956	2.090611	0.003245	0.464449
-17.495542	-2.756773	2.100608	0.003264	0.464456
-17.327021	-2.734449	2.110605	0.003233	0.464737
-17.321166	-2.727293	2.120602	0.003232	0.464771
-17.146730	-2.789657	2.130598	0.003200	0.464771
-17.252445	-2.754158	2.140595	0.003219	0.464768
-16.963102	-2.785479	2.150592	0.003166	0.465011
-16.992299	-2.757787	2.160589	0.003171	0.465073
-16.928525	-2.779093	2.170586	0.003159	0.465080
-16.918052	-2.782285	2.180582	0.003156	0.465084
-16.853224	-2.807005	2.190579	0.003144	0.465081
-16.771961	-2.754500	2.200576	0.003129	0.465360
-16.585732	-2.806787	2.210573	0.003095	0.465408
-16.766165	-2.744588	2.220570	0.003127	0.465406
-16.548601	-2.821889	2.230566	0.003088	0.465406
-16.622174	-2.774632	2.240563	0.003101	0.465482
-16.356093	-2.799624	2.250560	0.003052	0.465718
-16.358554	-2.798872	2.260557	0.003052	0.465721
-16.303812	-2.819128	2.270554	0.003042	0.465720
-16.460802	-2.765682	2.280550	0.003070	0.465716
-16.172655	-2.777529	2.290547	0.003017	0.466024
-16.240287	-2.751854	2.300544	0.003029	0.466033
-16.102466	-2.804649	2.310541	0.003004	0.466021
-16.122866	-2.793047	2.320538	0.003007	0.466039
-15.872077	-2.793332	2.330534	0.002961	0.466341
-15.950084	-2.767301	2.340531	0.002975	0.466339
-15.991706	-2.751157	2.350528	0.002982	0.466346
-16.034537	-2.698335	2.360525	0.002989	0.466477
-15.694214	-2.764677	2.370522	0.002928	0.466662
-15.745668	-2.747472	2.380518	0.002936	0.466661
-15.744424	-2.747773	2.390515	0.002936	0.466665
-15.500966	-2.752107	2.400512	0.002891	0.466944
-15.436486	-2.770551	2.410509	0.002879	0.466961
-15.413708	-2.778493	2.420506	0.002875	0.466964
-15.447546	-2.768597	2.430502	0.002881	0.466960
-15.202844	-2.778139	2.440499	0.002836	0.467223
-15.163325	-2.777080	2.450496	0.002828	0.467276
-15.055052	-2.814660	2.460493	0.002808	0.467281
-15.109987	-2.794912	2.470490	0.002818	0.467285
-15.116565	-2.795245	2.480486	0.002819	0.467279
-14.914313	-2.776193	2.490483	0.002782	0.467587
-14.808706	-2.813305	2.500480	0.002762	0.467590
-15.031548	-2.732435	2.510477	0.002802	0.467601
-14.914709	-2.766789	2.520474	0.002781	0.467627
-14.634427	-2.776903	2.530470	0.002729	0.467930
-14.575287	-2.798606	2.540467	0.002718	0.467930
-14.675925	-2.764780	2.550464	0.002736	0.467927
-14.658529	-2.770660	2.560461	0.002733	0.467930
-14.431977	-2.784906	2.570458	0.002691	0.468155
-14.386252	-2.800744	2.580454	0.002683	0.468159
-14.426479	-2.787349	2.590451	0.002689	0.468159
-14.398710	-2.793986	2.600448	0.002684	0.468172
-14.291544	-2.744352	2.610445	0.002664	0.468470
-14.105546	-2.810177	2.620442	0.002630	0.468472
-14.119875	-2.806577	2.630438	0.002632	0.468470
-14.151726	-2.787844	2.640435	0.002638	0.468498
-13.917446	-2.788437	2.650432	0.002595	0.468778
-13.765926	-2.842759	2.660429	0.002567	0.468777
-13.942355	-2.784239	2.670426	0.002599	0.468767
-13.936690	-2.781742	2.680422	0.002597	0.468785
-13.626140	-2.799955	2.690419	0.002541	0.469096
-13.638378	-2.796329	2.700416	0.002543	0.469096
-13.605444	-2.808266	2.710413	0.002536	0.469098
-13.591177	-2.813329	2.720410	0.002533	0.469101
-13.572322	-2.747389	2.730406	0.002529	0.469348
-13.302821	-2.827969	2.740403	0.002480	0.469400
-13.315596	-2.823736	2.750400	0.002482	0.469401
-13.144395	-2.883053	2.760397	0.002451	0.469408
-13.285525	-2.827635	2.770394	0.002476	0.469429
-12.879333	-2.885519	2.780390	0.002402	0.469720
-13.039440	-2.830711	2.790387	0.002431	0.469717
-12.991689	-2.847989	2.800384	0.002422	0.469718
-12.993240	-2.848260	2.810381	0.002421	0.469718
-12.991783	-2.845997	2.820378	0.002421	0.469730
-12.914135	-2.786698	2.830374	0.002406	0.470025
-12.755729	-2.843355	2.840371	0.002377	0.470025
-12.763269	-2.840435	2.850368	0.002378	0.470028
-12.852890	-2.771847	2.860365	0.002394	0.470155
-12.588469	-2.806514	2.870362	0.002346	0.470355
-12.520618	-2.832183	2.880358	0.002333	0.470352
-12.604396	-2.804473	2.890355	0.002348	0.470349
-12.277107	-2.856526	2.900352	0.002288	0.470565
-12.318463	-2.815647	2.910349	0.002295	0.470656
-12.354277	-2.804751	2.920346	0.002302	0.470652
-12.298018	-2.824123	2.930342	0.002291	0.470657
-12.170890	-2.840015	2.940339	0.002268	0.470757
-11.961764	-2.850821	2.950336	0.002229	0.470971
-12.019098	-2.830161	2.960333	0.002239	0.470975
-12.099681	-2.804603	2.970330	0.002253	0.470968
-11.965221	-2.819513	2.980326	0.002229	0.471080
-11.772246	-2.830339	2.990323	0.002194	0.471275
-11.742975	-2.841098	3.000320	0.002188	0.471276
-11.744431	-2.839308	3.010317	0.002188	0.471283
-11.617754	-2.887414	3.020314	0.002164	0.471274
-11.601368	-2.819536	3.030310	0.002161	0.471524
-11.370345	-2.879261	3.040307	0.002119	0.471600
-11.525449	-2.826257	3.050304	0.002146	0.471597
-11.674446	-2.774383	3.060301	0.002173	0.471597
-11.296375	-2.829283	3.070298	0.002104	0.471863
-11.148471	-2.869310	3.080294	0.002077	0.471906
-11.229949	-2.842300	3.090291	0.002091	0.471903
-11.109822	-2.885010	3.100288	0.002069	0.471905
-11.253061	-2.810029	3.110285	0.002095	0.471990
-10.958160	-2.846535	3.120282	0.002041	0.472218
-10.924514	-2.859034	3.130278	0.002035	0.472219
-10.989160	-2.837564	3.140275	0.002046	0.472217
-10.919536	-2.820138	3.150272	0.002033	0.472361
