Mon Jan 13 19:26:14 2020

Number of Points = 3023
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.270716	-0.026519	0.000000	-0.000013	0.485882

0.340869	-0.051042	0.005005	-0.000026	0.485883
0.335298	-0.049799	0.010010	-0.000025	0.485881
0.202174	-0.015994	0.015014	-0.000001	0.485839
0.262937	-0.121171	0.020019	-0.000012	0.485567
0.215058	-0.104159	0.025024	-0.000003	0.485568
0.152763	-0.084542	0.030029	0.000008	0.485561
0.148846	-0.079679	0.035034	0.000009	0.485573
0.314718	-0.223129	0.040038	-0.000021	0.485296
0.357203	-0.249112	0.045043	-0.000029	0.485261
0.292386	-0.269245	0.050048	-0.000018	0.485121
0.185856	-0.290947	0.055053	0.000002	0.484929
0.238906	-0.338035	0.060058	-0.000008	0.484837
0.218028	-0.397065	0.065062	-0.000004	0.484621
0.253156	-0.453924	0.070067	-0.000011	0.484476
0.159393	-0.474316	0.075072	0.000006	0.484302
0.134386	-0.541690	0.080077	0.000010	0.484054
0.156650	-0.595394	0.085082	0.000006	0.483904
0.187827	-0.673845	0.090086	0.000001	0.483684
0.248344	-0.779507	0.095091	-0.000010	0.483409
0.077517	-0.792699	0.100096	0.000020	0.483169
0.051122	-0.849793	0.105101	0.000025	0.482952
0.132507	-0.947150	0.110106	0.000010	0.482728
0.127936	-1.034037	0.115110	0.000011	0.482438
0.007092	-1.080927	0.120115	0.000033	0.482145
0.147584	-1.225113	0.125120	0.000007	0.481835
0.167155	-1.328522	0.130125	0.000004	0.481519
-0.115302	-1.330842	0.135130	0.000055	0.481184
0.016137	-1.475906	0.140134	0.000031	0.480860
-0.005428	-1.572624	0.145139	0.000035	0.480517
-0.088703	-1.646405	0.150144	0.000050	0.480178
-0.139710	-1.736830	0.155149	0.000059	0.479821
-0.177630	-1.831694	0.160154	0.000065	0.479465
-0.156004	-1.948907	0.165158	0.000061	0.479104
-0.067706	-2.107060	0.170163	0.000045	0.478685
-0.189571	-2.186657	0.175168	0.000067	0.478280
-0.336335	-2.240430	0.180173	0.000094	0.477931
-0.233017	-2.396680	0.185178	0.000075	0.477535
-0.384631	-2.482269	0.190182	0.000102	0.477075
-0.406994	-2.590994	0.195187	0.000106	0.476688
-0.366336	-2.747447	0.200192	0.000099	0.476217
-0.786074	-2.730062	0.205197	0.000175	0.475783
-1.285219	-2.670141	0.210202	0.000265	0.475398
-1.605423	-2.672554	0.215206	0.000323	0.475014
-1.986203	-2.650113	0.220211	0.000391	0.474642
-2.414618	-2.593457	0.225216	0.000469	0.474328
-2.680547	-2.587136	0.230221	0.000517	0.474036
-2.972419	-2.573445	0.235226	0.000569	0.473739
-3.094432	-2.619221	0.240230	0.000591	0.473443
-3.368072	-2.602546	0.245235	0.000640	0.473177
-3.443795	-2.641541	0.250240	0.000654	0.472957
-3.808725	-2.580985	0.255245	0.000720	0.472730
-3.835676	-2.646232	0.260250	0.000725	0.472480
-4.276663	-2.569226	0.265254	0.000804	0.472218
-4.162921	-2.686332	0.270259	0.000784	0.471960
-4.562545	-2.607772	0.275264	0.000856	0.471752
-4.727329	-2.601130	0.280269	0.000885	0.471580
-5.124918	-2.551167	0.285274	0.000957	0.471277
-5.024239	-2.628915	0.290278	0.000939	0.471136
-5.530009	-2.500946	0.295283	0.001030	0.470967
-5.278975	-2.667073	0.300288	0.000985	0.470707
-5.575511	-2.600870	0.305293	0.001038	0.470579
-6.045392	-2.505483	0.310298	0.001123	0.470343
-5.906478	-2.603545	0.315302	0.001098	0.470178
-5.983342	-2.627229	0.320307	0.001112	0.470008
-6.506089	-2.515865	0.325312	0.001206	0.469762
-6.238777	-2.627838	0.330317	0.001158	0.469703
-6.698600	-2.553543	0.335322	0.001241	0.469408
-6.303808	-2.715284	0.340326	0.001169	0.469333
-7.145401	-2.489784	0.345331	0.001321	0.469093
-6.726448	-2.670384	0.350336	0.001245	0.468982
-7.266181	-2.544369	0.355341	0.001343	0.468766
-7.032361	-2.667919	0.360346	0.001301	0.468628
-7.539733	-2.534785	0.365350	0.001392	0.468474
-7.497173	-2.604254	0.370355	0.001384	0.468290
-7.774750	-2.544893	0.375360	0.001434	0.468161
-7.678470	-2.617129	0.380365	0.001417	0.468032
-7.744781	-2.624998	0.385370	0.001429	0.467927
-7.867040	-2.661350	0.390374	0.001451	0.467658
-8.098357	-2.600532	0.395379	0.001493	0.467589
-8.417689	-2.575065	0.400384	0.001550	0.467294
-8.511594	-2.546410	0.405389	0.001567	0.467280
-8.661760	-2.577228	0.410394	0.001594	0.466996
-8.723106	-2.567470	0.415398	0.001605	0.466957
-8.728700	-2.638329	0.420403	0.001606	0.466710
-9.061606	-2.535453	0.425408	0.001666	0.466662
-9.135623	-2.587132	0.430413	0.001679	0.466398
-9.329776	-2.535721	0.435418	0.001714	0.466341
-9.155396	-2.662808	0.440422	0.001683	0.466119
-9.830146	-2.451140	0.445427	0.001805	0.466030
-9.672817	-2.562555	0.450432	0.001776	0.465841
-9.889202	-2.524308	0.455437	0.001815	0.465712
-9.622490	-2.666820	0.460442	0.001767	0.465548
-10.191000	-2.505849	0.465446	0.001869	0.465414
-9.941480	-2.645077	0.470451	0.001824	0.465241
-10.470108	-2.505659	0.475456	0.001920	0.465081
-10.261984	-2.625662	0.480461	0.001882	0.464923
-10.660491	-2.532823	0.485466	0.001954	0.464761
-10.490470	-2.626521	0.490470	0.001923	0.464647
-11.067064	-2.481058	0.495475	0.002027	0.464450
-10.869249	-2.568783	0.500480	0.001991	0.464390
-11.356152	-2.467092	0.505485	0.002079	0.464152
-11.020241	-2.587660	0.510490	0.002018	0.464145
-11.469303	-2.522396	0.515494	0.002100	0.463828
-11.365137	-2.560823	0.520499	0.002081	0.463823
-11.807337	-2.478780	0.525504	0.002160	0.463571
-11.523889	-2.593813	0.530509	0.002109	0.463520
-11.928208	-2.512210	0.535514	0.002182	0.463313
-11.938017	-2.539487	0.540518	0.002184	0.463208
-12.217562	-2.478556	0.545523	0.002234	0.463080
-12.262794	-2.502591	0.550528	0.002242	0.462944
-12.204825	-2.550616	0.555533	0.002232	0.462850
-12.348137	-2.568926	0.560538	0.002257	0.462615
-12.500050	-2.544852	0.565542	0.002285	0.462515
-12.653834	-2.553229	0.570547	0.002313	0.462301
-12.861096	-2.499339	0.575552	0.002350	0.462236
-12.885956	-2.564573	0.580557	0.002354	0.461983
-13.273393	-2.429191	0.585562	0.002424	0.461979
-13.245292	-2.525203	0.590566	0.002419	0.461685
-13.401120	-2.470776	0.595571	0.002447	0.461684
-13.400221	-2.544075	0.600576	0.002447	0.461434
-13.759533	-2.440386	0.605581	0.002512	0.461356
-13.574671	-2.558499	0.610586	0.002478	0.461175
-13.824321	-2.507717	0.615590	0.002523	0.461047
-13.759822	-2.585991	0.620595	0.002511	0.460857
-14.141614	-2.486929	0.625600	0.002580	0.460736
-13.919209	-2.616694	0.630605	0.002540	0.460560
-14.361297	-2.501581	0.635610	0.002620	0.460420
-14.158921	-2.632836	0.640614	0.002583	0.460215
-14.800619	-2.441280	0.645619	0.002699	0.460096
-14.628154	-2.550260	0.650624	0.002668	0.459931
-14.796159	-2.532634	0.655629	0.002698	0.459788
-14.734771	-2.602678	0.660634	0.002687	0.459622
-15.245248	-2.466206	0.665638	0.002779	0.459472
-15.086917	-2.554359	0.670643	0.002750	0.459362
-15.346665	-2.519451	0.675648	0.002797	0.459167
-15.157521	-2.623875	0.680653	0.002763	0.459038
-15.676209	-2.498306	0.685658	0.002857	0.458840
-15.440295	-2.619646	0.690662	0.002814	0.458709
-16.012536	-2.467115	0.695667	0.002917	0.458540
-15.720794	-2.604645	0.700672	0.002864	0.458421
-16.358672	-2.435680	0.705677	0.002980	0.458228
-15.980783	-2.586423	0.710682	0.002911	0.458168
-16.300953	-2.524706	0.715686	0.002969	0.457992
-16.080093	-2.641974	0.720691	0.002929	0.457856
-16.687584	-2.486987	0.725696	0.003039	0.457652
-16.454244	-2.604298	0.730701	0.002996	0.457531
-16.843315	-2.523544	0.735706	0.003067	0.457336
-16.488398	-2.693476	0.740710	0.003002	0.457182
-17.071289	-2.538503	0.745715	0.003108	0.457007
-17.150975	-2.558605	0.750720	0.003122	0.456841
-17.347858	-2.526272	0.755725	0.003157	0.456713
-17.166070	-2.645867	0.760730	0.003124	0.456521
-17.757244	-2.476678	0.765734	0.003231	0.456385
-17.630829	-2.563142	0.770739	0.003208	0.456241
-17.848280	-2.533994	0.775744	0.003247	0.456076
-17.723364	-2.625758	0.780749	0.003225	0.455911
-18.305654	-2.464570	0.785754	0.003330	0.455758
-18.138191	-2.550228	0.790758	0.003300	0.455667
-18.567588	-2.457927	0.795763	0.003377	0.455462
-18.182665	-2.619351	0.800768	0.003307	0.455373
-18.921216	-2.430120	0.805773	0.003441	0.455126
-18.605786	-2.542604	0.810778	0.003384	0.455122
-19.097138	-2.457337	0.815782	0.003472	0.454816
-18.739233	-2.581725	0.820787	0.003408	0.454824
-19.302901	-2.469942	0.825792	0.003509	0.454521
-19.060899	-2.559869	0.830797	0.003466	0.454506
-19.433036	-2.498682	0.835802	0.003533	0.454262
-19.109901	-2.629708	0.840806	0.003474	0.454204
-19.689421	-2.509748	0.845811	0.003579	0.453909
-19.599921	-2.550965	0.850816	0.003563	0.453877
-20.015791	-2.473834	0.855821	0.003638	0.453634
-19.683217	-2.608180	0.860826	0.003577	0.453576
-20.231899	-2.485157	0.865830	0.003677	0.453330
-20.059905	-2.561973	0.870835	0.003645	0.453274
-20.443737	-2.480225	0.875840	0.003715	0.453087
-20.135499	-2.609974	0.880845	0.003659	0.453015
-20.487257	-2.562830	0.885850	0.003722	0.452746
-20.579497	-2.550733	0.890854	0.003739	0.452675
-21.002013	-2.476645	0.895859	0.003815	0.452414
-20.741208	-2.584565	0.900864	0.003768	0.452359
-21.295606	-2.462585	0.905869	0.003868	0.452102
-21.115047	-2.543238	0.910874	0.003835	0.452043
-21.475005	-2.472761	0.915878	0.003900	0.451845
-21.085406	-2.639794	0.920883	0.003830	0.451742
-21.803010	-2.458777	0.925888	0.003959	0.451490
-21.625884	-2.543149	0.930893	0.003927	0.451414
-21.856755	-2.509731	0.935898	0.003969	0.451246
-21.780872	-2.573448	0.940902	0.003955	0.451117
-22.210395	-2.477872	0.945907	0.004033	0.450921
-22.235331	-2.504510	0.950912	0.004037	0.450797
-22.309720	-2.516665	0.955917	0.004050	0.450663
-22.325274	-2.560197	0.960922	0.004053	0.450492
-22.713252	-2.465714	0.965926	0.004123	0.450343
-22.751254	-2.502843	0.970931	0.004130	0.450166
-23.048446	-2.413748	0.975936	0.004183	0.450111
-22.727781	-2.600235	0.980941	0.004125	0.449854
-23.024480	-2.517822	0.985946	0.004179	0.449776
-23.300954	-2.487749	0.990950	0.004229	0.449539
-23.283149	-2.509229	0.995955	0.004226	0.449486
-23.486073	-2.511078	1.000960	0.004262	0.449228

-23.740234	-2.495735	1.010957	0.004308	0.448967
-23.747175	-2.523543	1.020954	0.004309	0.448862
-24.136200	-2.459839	1.030950	0.004379	0.448604
-23.953991	-2.524899	1.040947	0.004346	0.448602
-24.248747	-2.421948	1.050944	0.004399	0.448600
-24.123154	-2.517563	1.060941	0.004376	0.448420
-24.423052	-2.427063	1.070938	0.004430	0.448367
-24.137415	-2.532504	1.080934	0.004378	0.448352
-24.217823	-2.519930	1.090931	0.004393	0.448298
-24.182510	-2.535078	1.100928	0.004386	0.448289
-24.191731	-2.487369	1.110925	0.004388	0.448448
-23.963187	-2.532325	1.120922	0.004346	0.448575
-24.229295	-2.429730	1.130918	0.004394	0.448607
-23.905470	-2.543377	1.140915	0.004335	0.448610
-24.260285	-2.418625	1.150912	0.004399	0.448610
-23.968243	-2.523892	1.160909	0.004346	0.448603
-24.192172	-2.444850	1.170906	0.004387	0.448605
-23.938614	-2.494887	1.180902	0.004341	0.448745
-23.871454	-2.471991	1.190899	0.004328	0.448911
-23.662381	-2.547903	1.200896	0.004290	0.448905
-23.892789	-2.465356	1.210893	0.004332	0.448910
-23.767526	-2.512082	1.220890	0.004309	0.448903
-23.665375	-2.509873	1.230886	0.004290	0.449039
-23.530424	-2.504802	1.240883	0.004266	0.449226
-23.725587	-2.436021	1.250880	0.004301	0.449227
-23.608693	-2.478487	1.260877	0.004279	0.449224
-23.574581	-2.434550	1.270874	0.004273	0.449422
-23.235270	-2.521463	1.280870	0.004212	0.449539
-23.480098	-2.437011	1.290867	0.004256	0.449534
-23.297295	-2.501059	1.300864	0.004222	0.449537
-23.243050	-2.451553	1.310861	0.004212	0.449780
-23.104175	-2.480659	1.320858	0.004187	0.449851
-23.336824	-2.400339	1.330854	0.004229	0.449846
-23.032992	-2.489005	1.340851	0.004174	0.449912
-22.876133	-2.474472	1.350848	0.004145	0.450160
-22.931022	-2.455834	1.360845	0.004155	0.450158
-22.910983	-2.462491	1.370842	0.004151	0.450161
-22.714686	-2.516998	1.380838	0.004116	0.450214
-22.621647	-2.472214	1.390835	0.004099	0.450488
-22.510165	-2.512850	1.400832	0.004078	0.450485
-22.702728	-2.445265	1.410829	0.004113	0.450485
-22.536858	-2.503180	1.420826	0.004083	0.450488
-22.387714	-2.484665	1.430822	0.004056	0.450740
-22.245350	-2.520621	1.440819	0.004030	0.450791
-22.426094	-2.458176	1.450816	0.004062	0.450788
-22.261881	-2.516873	1.460813	0.004032	0.450786
-22.240131	-2.497749	1.470810	0.004028	0.450882
-21.828775	-2.576849	1.480806	0.003954	0.451115
-22.084990	-2.489545	1.490803	0.004000	0.451105
-22.076431	-2.491938	1.500800	0.003998	0.451109
-22.162034	-2.458655	1.510797	0.004013	0.451121
-21.765499	-2.516970	1.520794	0.003941	0.451408
-21.832047	-2.492793	1.530790	0.003953	0.451412
-21.683865	-2.544753	1.540787	0.003926	0.451414
-21.769652	-2.516440	1.550784	0.003942	0.451409
-21.691414	-2.479368	1.560781	0.003927	0.451637
-21.665895	-2.459827	1.570778	0.003923	0.451738
-21.537596	-2.504413	1.580774	0.003899	0.451742
-21.573823	-2.485493	1.590771	0.003906	0.451765
-21.270195	-2.515916	1.600768	0.003850	0.452035
-21.407734	-2.465205	1.610765	0.003875	0.452044
-21.374754	-2.477619	1.620762	0.003869	0.452042
-21.255783	-2.490513	1.630758	0.003847	0.452145
-21.059006	-2.497951	1.640755	0.003812	0.452364
-21.152966	-2.466501	1.650752	0.003828	0.452359
-21.180310	-2.455453	1.660749	0.003833	0.452365
-21.028256	-2.458519	1.670746	0.003805	0.452543
-20.873961	-2.475933	1.680742	0.003777	0.452674
-20.946898	-2.451064	1.690739	0.003790	0.452672
-20.904701	-2.455735	1.700736	0.003783	0.452709
-20.574496	-2.487398	1.710733	0.003723	0.453007
-20.595243	-2.477803	1.720730	0.003726	0.453016
-20.677406	-2.449276	1.730726	0.003741	0.453016
-20.596144	-2.478458	1.740723	0.003726	0.453016
-20.550154	-2.424538	1.750720	0.003718	0.453262
-20.284910	-2.519017	1.760717	0.003669	0.453260
-20.426929	-2.469013	1.770714	0.003695	0.453261
-20.362338	-2.474925	1.780710	0.003683	0.453321
-19.979688	-2.537213	1.790707	0.003614	0.453576
