Mon Jan 13 20:00:39 2020

Number of Points = 3018
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.414282	0.139434	0.000000	0.000074	0.519389

0.787063	0.010953	0.005005	0.000006	0.519402
0.660685	0.049211	0.010010	0.000028	0.519388
0.771515	-0.066551	0.015014	0.000008	0.519158
0.529194	-0.014612	0.020019	0.000051	0.519061
0.870576	-0.130816	0.025024	-0.000012	0.519078
0.618874	-0.048665	0.030029	0.000033	0.519062
0.747663	-0.091383	0.035034	0.000009	0.519074
0.707318	-0.138285	0.040038	0.000016	0.518893
0.890277	-0.241609	0.045043	-0.000018	0.518779
0.626480	-0.155654	0.050048	0.000029	0.518762
0.705967	-0.262355	0.055053	0.000014	0.518526
0.618943	-0.261334	0.060058	0.000029	0.518440
0.668034	-0.321589	0.065062	0.000019	0.518313
0.586514	-0.351798	0.070067	0.000033	0.518138
0.824771	-0.490829	0.075072	-0.000011	0.517974
0.631373	-0.472990	0.080077	0.000024	0.517825
0.717268	-0.573787	0.085082	0.000007	0.517614
0.575354	-0.581079	0.090086	0.000032	0.517443
0.611280	-0.655038	0.095091	0.000025	0.517260
0.424797	-0.689273	0.100096	0.000058	0.516959
0.578176	-0.808377	0.105101	0.000030	0.516764
0.608754	-0.898300	0.110106	0.000023	0.516526
0.681883	-1.007259	0.115110	0.000009	0.516276
0.165393	-0.921210	0.120115	0.000102	0.515986
0.340980	-1.067854	0.125120	0.000069	0.515731
0.321104	-1.154270	0.130125	0.000072	0.515449
0.391380	-1.267267	0.135130	0.000059	0.515183
0.314009	-1.346401	0.140134	0.000072	0.514860
0.368817	-1.465457	0.145139	0.000062	0.514558
0.342076	-1.567445	0.150144	0.000066	0.514220
0.429272	-1.700545	0.155149	0.000049	0.513910
0.327399	-1.788113	0.160154	0.000067	0.513534
0.308934	-1.896446	0.165158	0.000070	0.513185
0.394616	-2.052404	0.170163	0.000053	0.512802
0.362362	-2.150923	0.175168	0.000058	0.512467
0.317414	-2.266436	0.180173	0.000066	0.512066
0.426331	-2.445680	0.185178	0.000045	0.511635
0.185988	-2.502481	0.190182	0.000088	0.511202
0.306260	-2.670615	0.195187	0.000066	0.510818
0.043211	-2.739103	0.200192	0.000112	0.510323
0.169178	-2.913915	0.205197	0.000089	0.509923
-0.010300	-3.005714	0.210202	0.000121	0.509446
-0.102193	-3.112670	0.215206	0.000137	0.509018
-0.123486	-3.255237	0.220211	0.000140	0.508556
-0.183417	-3.382145	0.225216	0.000150	0.508100
-0.302672	-3.471561	0.230221	0.000171	0.507695
-0.251016	-3.645160	0.235226	0.000161	0.507216
-0.492809	-3.718515	0.240230	0.000204	0.506726
-0.584204	-3.838077	0.245235	0.000219	0.506256
-0.798455	-3.915396	0.250240	0.000257	0.505783
-1.570855	-3.790159	0.255245	0.000396	0.505328
-2.656549	-3.522720	0.260250	0.000592	0.504972
-2.736853	-3.597655	0.265254	0.000605	0.504653
