Mon Jan 13 19:54:40 2020

Number of Points = 3028
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.249844	0.078941	0.000000	-0.000016	0.527505

0.118734	0.042766	0.005005	0.000007	0.527264
0.151291	0.000668	0.010010	-0.000000	0.527177
0.044645	0.032156	0.015014	0.000018	0.527164
0.159484	-0.005558	0.020019	-0.000003	0.527177
0.104884	0.009039	0.025024	0.000006	0.527168
0.168872	-0.014366	0.030029	-0.000007	0.527171
0.122593	-0.049817	0.035034	0.000001	0.527021
0.048133	-0.077770	0.040038	0.000013	0.526863
0.001880	-0.066436	0.045043	0.000021	0.526854
0.092528	-0.136662	0.050048	0.000003	0.526744
0.178680	-0.238459	0.055053	-0.000013	0.526534
0.068175	-0.215535	0.060058	0.000006	0.526492
-0.137907	-0.231728	0.065062	0.000042	0.526230
0.134703	-0.343831	0.070067	-0.000008	0.526187
-0.058555	-0.372306	0.075072	0.000026	0.525902
0.129319	-0.472553	0.080077	-0.000008	0.525805
0.168963	-0.555805	0.085082	-0.000016	0.525601
-0.026549	-0.582770	0.090086	0.000018	0.525318
-0.163722	-0.591181	0.095091	0.000042	0.525153
0.051814	-0.737133	0.100096	0.000002	0.524947
-0.111583	-0.779685	0.105101	0.000031	0.524650
-0.010846	-0.899458	0.110106	0.000012	0.524402
-0.166412	-0.934833	0.115110	0.000039	0.524135
-0.094891	-1.040352	0.120115	0.000025	0.523898
-0.119570	-1.129627	0.125120	0.000029	0.523607
-0.060252	-1.246492	0.130125	0.000017	0.523322
-0.243132	-1.286237	0.135130	0.000049	0.523013
-0.177287	-1.406469	0.140134	0.000037	0.522725
-0.292802	-1.469533	0.145139	0.000057	0.522416
-0.167333	-1.626607	0.150144	0.000033	0.522079
-0.256340	-1.713929	0.155149	0.000048	0.521725
-0.361226	-1.794276	0.160154	0.000066	0.521375
-0.463619	-1.879436	0.165158	0.000084	0.521012
-0.363012	-2.031835	0.170163	0.000065	0.520662
-0.393359	-2.165194	0.175168	0.000070	0.520230
-0.592037	-2.211108	0.180173	0.000105	0.519883
-0.396240	-2.413137	0.185178	0.000068	0.519483
-0.347222	-2.567282	0.190182	0.000059	0.519072
-0.584039	-2.631973	0.195187	0.000101	0.518626
-0.493287	-2.791708	0.200192	0.000083	0.518241
-0.686280	-2.880054	0.205197	0.000117	0.517770
-0.659664	-3.010545	0.210202	0.000112	0.517405
-0.810183	-3.114321	0.215206	0.000138	0.516931
-0.757376	-3.282065	0.220211	0.000128	0.516480
-0.822162	-3.410537	0.225216	0.000138	0.516022
-1.348413	-3.379699	0.230221	0.000233	0.515553
-2.258558	-3.187539	0.235226	0.000396	0.515164
-2.342469	-3.277981	0.240230	0.000410	0.514801
-2.859202	-3.210750	0.245235	0.000503	0.514453
-3.132437	-3.215452	0.250240	0.000551	0.514148
-3.531196	-3.176532	0.255245	0.000623	0.513841
-3.574336	-3.248798	0.260250	0.000630	0.513577
-3.926628	-3.213798	0.265254	0.000692	0.513308
-4.208614	-3.193028	0.270259	0.000742	0.513071
-4.454270	-3.181252	0.275264	0.000786	0.512845
-4.736206	-3.159860	0.280269	0.000836	0.512610
-4.858762	-3.182595	0.285274	0.000857	0.512412
-5.155564	-3.133266	0.290278	0.000910	0.512247
-5.425510	-3.136024	0.295283	0.000958	0.511950
-5.472620	-3.168689	0.300288	0.000966	0.511803
-5.785045	-3.116011	0.305293	0.001021	0.511631
-5.819884	-3.175808	0.310298	0.001027	0.511413
-5.963845	-3.156647	0.315302	0.001052	0.511321
-6.336889	-3.127108	0.320307	0.001118	0.511011
-6.244505	-3.185932	0.325312	0.001101	0.510935
-6.862706	-3.043447	0.330317	0.001212	0.510707
-6.693488	-3.121330	0.335322	0.001180	0.510656
-6.933259	-3.119036	0.340326	0.001223	0.510407
-7.026846	-3.098107	0.345331	0.001239	0.510375
-7.272279	-3.101767	0.350336	0.001282	0.510101
-7.204431	-3.132071	0.355341	0.001269	0.510086
-7.664311	-3.073542	0.360346	0.001351	0.509770
-7.556284	-3.119023	0.365350	0.001331	0.509753
-7.891484	-3.074828	0.370355	0.001390	0.509528
-7.976467	-3.073485	0.375360	0.001405	0.509445
-8.084608	-3.077415	0.380365	0.001424	0.509320
-8.366701	-3.038654	0.385370	0.001474	0.509137
-8.398868	-3.025257	0.390374	0.001479	0.509148
-8.601272	-3.049617	0.395379	0.001514	0.508857
-8.586907	-3.059152	0.400384	0.001511	0.508848
-8.775186	-3.048338	0.405389	0.001544	0.508681
-9.141047	-2.974254	0.410394	0.001609	0.508515
-9.018997	-3.021703	0.415398	0.001586	0.508507
-9.146093	-3.061934	0.420403	0.001608	0.508248
-9.130707	-3.083240	0.425408	0.001605	0.508204
-9.365888	-3.060967	0.430413	0.001646	0.508020
-9.330482	-3.113920	0.435418	0.001639	0.507900
-9.534566	-3.079136	0.440422	0.001675	0.507789
-9.804126	-3.029011	0.445427	0.001723	0.507655
-9.935083	-2.981947	0.450432	0.001746	0.507663
-10.087721	-3.036026	0.455437	0.001772	0.507332
-9.994432	-3.068662	0.460442	0.001755	0.507338
-10.359178	-3.011247	0.465446	0.001820	0.507122
-10.672046	-2.935626	0.470451	0.001875	0.507019
-10.464965	-3.011723	0.475456	0.001837	0.507015
-10.608171	-3.063536	0.480461	0.001862	0.506701
-10.585510	-3.077673	0.485466	0.001857	0.506687
-10.998491	-3.010003	0.490470	0.001931	0.506450
-10.991026	-3.033267	0.495475	0.001929	0.506390
-11.121723	-3.022303	0.500480	0.001951	0.506286
-11.235572	-3.057054	0.505485	0.001971	0.506058
-11.168677	-3.090984	0.510490	0.001958	0.506031
-11.686609	-2.994622	0.515494	0.002051	0.505767
-11.616808	-3.018625	0.520499	0.002037	0.505774
-11.622055	-3.088359	0.525504	0.002037	0.505555
-11.942927	-3.009948	0.530509	0.002095	0.505452
-12.042983	-3.009109	0.535514	0.002112	0.505350
-12.223200	-3.014296	0.540518	0.002143	0.505140
-12.004555	-3.101298	0.545523	0.002103	0.505114
-12.689880	-2.958137	0.550528	0.002226	0.504812
-12.475516	-3.038929	0.555533	0.002186	0.504801
-12.676006	-3.020346	0.560538	0.002222	0.504643
-12.640468	-3.082187	0.565542	0.002215	0.504494
-12.709664	-3.095946	0.570547	0.002226	0.504379
-12.917942	-3.090564	0.575552	0.002263	0.504171
