Mon Jan 13 19:43:24 2020

Number of Points = 3027
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.270138	-0.091444	0.000000	-0.000043	0.551672

0.364151	-0.125127	0.005005	-0.000062	0.551678
0.441083	-0.156271	0.010010	-0.000077	0.551674
0.314278	-0.109904	0.015014	-0.000055	0.551687
0.360298	-0.198954	0.020019	-0.000065	0.551487
0.425121	-0.266329	0.025024	-0.000078	0.551367
0.475226	-0.289579	0.030029	-0.000089	0.551359
0.465933	-0.370440	0.035034	-0.000088	0.551125
0.499903	-0.407201	0.040038	-0.000096	0.551062
0.475170	-0.473180	0.045043	-0.000093	0.550856
0.566485	-0.551413	0.050048	-0.000111	0.550732
0.505295	-0.623481	0.055053	-0.000101	0.550471
0.289220	-0.581067	0.060058	-0.000064	0.550382
0.415452	-0.720155	0.065062	-0.000088	0.550119
0.208351	-0.718484	0.070067	-0.000052	0.549922
0.226688	-0.776081	0.075072	-0.000057	0.549783
0.214775	-0.880232	0.080077	-0.000056	0.549479
0.200268	-0.952575	0.085082	-0.000055	0.549265
0.195929	-1.033677	0.090086	-0.000055	0.549035
0.293148	-1.152145	0.095091	-0.000074	0.548800
0.113364	-1.180604	0.100096	-0.000043	0.548544
0.207659	-1.324338	0.105101	-0.000062	0.548234
0.089142	-1.380421	0.110106	-0.000042	0.547960
0.268852	-1.544797	0.115110	-0.000075	0.547676
0.336404	-1.659393	0.120115	-0.000089	0.547422
0.187033	-1.725999	0.125120	-0.000064	0.547086
0.100669	-1.821553	0.130125	-0.000049	0.546730
0.131298	-1.956441	0.135130	-0.000056	0.546379
0.028194	-2.041638	0.140134	-0.000039	0.546036
-0.044994	-2.143441	0.145139	-0.000027	0.545674
0.244622	-2.375747	0.150144	-0.000081	0.545305
0.167199	-2.483954	0.155149	-0.000068	0.544920
-0.017754	-2.581381	0.160154	-0.000036	0.544457
-0.003428	-2.718922	0.165158	-0.000040	0.544080
-0.143079	-2.805627	0.170163	-0.000017	0.543693
-0.222097	-2.937502	0.175168	-0.000004	0.543237
-0.039086	-3.145767	0.180173	-0.000038	0.542827
-0.280294	-3.196640	0.185178	0.000004	0.542439
-0.207414	-3.391458	0.190182	-0.000011	0.541955
-0.441741	-3.453796	0.195187	0.000030	0.541540
-0.891142	-3.466047	0.200192	0.000110	0.541051
-2.191416	-3.120861	0.205197	0.000344	0.540729
