Mon Jan 13 19:49:16 2020

Number of Points = 3032
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.112627	-0.077543	0.000000	-0.000053	0.540495

0.275401	-0.206151	0.005005	-0.000084	0.540293
0.308078	-0.258477	0.010010	-0.000091	0.540180
0.336018	-0.267565	0.015014	-0.000097	0.540189
0.201911	-0.222612	0.020019	-0.000074	0.540188
0.359869	-0.374845	0.025024	-0.000104	0.539912
0.166838	-0.319245	0.030029	-0.000070	0.539882
0.355805	-0.432090	0.035034	-0.000105	0.539753
0.164726	-0.436181	0.040038	-0.000072	0.539551
0.249119	-0.496890	0.045043	-0.000088	0.539466
0.287365	-0.589433	0.050048	-0.000096	0.539241
0.111051	-0.577985	0.055053	-0.000065	0.539099
0.111850	-0.637951	0.060058	-0.000067	0.538931
0.163281	-0.734809	0.065062	-0.000077	0.538706
0.114304	-0.770433	0.070067	-0.000069	0.538558
0.041121	-0.834529	0.075072	-0.000057	0.538300
0.243301	-0.990091	0.080077	-0.000095	0.538059
0.211611	-1.057351	0.085082	-0.000090	0.537835
0.199129	-1.131956	0.090086	-0.000089	0.537610
0.154058	-1.201672	0.095091	-0.000082	0.537364
0.056795	-1.267132	0.100096	-0.000066	0.537078
-0.000965	-1.343960	0.105101	-0.000056	0.536798
0.042366	-1.472256	0.110106	-0.000065	0.536472
0.042005	-1.570466	0.115110	-0.000066	0.536188
0.069000	-1.691864	0.120115	-0.000072	0.535865
0.049127	-1.804133	0.125120	-0.000070	0.535520
0.001512	-1.910309	0.130125	-0.000063	0.535163
-0.036093	-2.012771	0.135130	-0.000057	0.534828
-0.070743	-2.128306	0.140134	-0.000052	0.534457
-0.183791	-2.213330	0.145139	-0.000032	0.534094
-0.101987	-2.364255	0.150144	-0.000048	0.533739
-0.222076	-2.466442	0.155149	-0.000028	0.533318
-0.289134	-2.574865	0.160154	-0.000017	0.532933
-0.353091	-2.670517	0.165158	-0.000006	0.532589
-0.310393	-2.820972	0.170163	-0.000015	0.532194
-0.561508	-2.887962	0.175168	0.000029	0.531738
-0.568169	-3.017785	0.180173	0.000029	0.531352
-0.490272	-3.186007	0.185178	0.000014	0.530940
-0.563325	-3.323413	0.190182	0.000026	0.530461
-0.665046	-3.424713	0.195187	0.000043	0.530058
-0.757539	-3.558704	0.200192	0.000059	0.529568
-0.729017	-3.715169	0.205197	0.000053	0.529138
-0.853102	-3.827692	0.210202	0.000074	0.528677
-0.956209	-3.949101	0.215206	0.000091	0.528212
-1.966199	-3.736973	0.220211	0.000273	0.527789
-3.807339	-3.183252	0.225216	0.000604	0.527511
-3.578321	-3.340072	0.230221	0.000562	0.527290
-3.972729	-3.266745	0.235226	0.000632	0.527100
-4.153851	-3.285147	0.240230	0.000664	0.526860
-4.438532	-3.271293	0.245235	0.000714	0.526607
