Energy[keV],Count,
0.000,0,
0.010,0,
0.020,0,
0.030,0,
0.040,0,
0.050,0,
0.060,0,
0.070,0,
0.080,0,
0.090,0,
0.100,187,
0.110,5039,
0.120,7108,
0.130,9658,
0.140,13008,
0.150,17527,
0.160,23667,
0.170,31327,
0.180,38675,
0.190,43184,
0.200,42675,
0.210,39237,
0.220,33888,
0.230,30379,
0.240,30352,
0.250,33644,
0.260,38142,
0.270,41144,
0.280,41108,
0.290,36516,
0.300,29878,
0.310,22543,
0.320,16717,
0.330,12381,
0.340,9925,
0.350,8479,
0.360,8066,
0.370,7904,
0.380,8146,
0.390,8129,
0.400,7809,
0.410,7493,
0.420,7145,
0.430,6976,
0.440,6859,
0.450,7111,
0.460,7848,
0.470,9396,
0.480,12086,
0.490,15699,
0.500,19583,
0.510,23669,
0.520,25694,
0.530,25941,
0.540,23980,
0.550,21156,
0.560,17484,
0.570,14089,
0.580,11301,
0.590,9191,
0.600,8094,
0.610,8152,
0.620,8338,
0.630,8946,
0.640,9522,
0.650,10156,
0.660,10281,
0.670,10128,
0.680,9543,
0.690,9032,
0.700,8239,
0.710,7953,
0.720,7493,
0.730,7199,
0.740,7180,
0.750,7030,
0.760,7256,
0.770,7537,
0.780,7580,
0.790,7858,
0.800,8098,
0.810,8389,
0.820,8288,
0.830,8104,
0.840,8289,
0.850,8177,
0.860,8931,
0.870,9935,
0.880,11818,
0.890,14575,
0.900,17417,
0.910,20195,
0.920,22115,
0.930,22272,
0.940,21092,
0.950,19136,
0.960,15964,
0.970,13450,
0.980,11233,
0.990,10077,
1.000,9431,
1.010,9209,
1.020,9502,
1.030,9836,
1.040,10394,
1.050,10593,
1.060,10902,
1.070,11340,
1.080,11720,
1.090,12116,
1.100,12438,
1.110,12172,
1.120,11855,
1.130,10999,
1.140,10310,
1.150,9823,
1.160,9041,
1.170,8460,
1.180,8298,
1.190,8094,
1.200,8018,
1.210,7975,
1.220,7939,
1.230,7826,
1.240,8146,
1.250,7965,
1.260,8005,
1.270,7867,
1.280,8005,
1.290,7928,
1.300,8078,
1.310,8156,
1.320,8373,
1.330,8515,
1.340,8508,
1.350,8575,
1.360,8875,
1.370,8922,
1.380,8892,
1.390,8880,
1.400,9005,
1.410,8991,
1.420,8873,
1.430,8965,
1.440,8929,
1.450,9254,
1.460,9550,
1.470,9570,
1.480,9677,
1.490,9754,
1.500,9499,
1.510,9817,
1.520,9966,
1.530,10078,
1.540,10753,
1.550,11391,
1.560,12639,
1.570,13508,
1.580,14553,
