Energy[keV],Count,
0.000,0,
0.010,0,
0.020,0,
0.030,0,
0.040,0,
0.050,0,
0.060,0,
0.070,0,
0.080,0,
0.090,0,
0.100,120,
0.110,3235,
0.120,4712,
0.130,6280,
0.140,7842,
0.150,9921,
0.160,12255,
0.170,15693,
0.180,18980,
0.190,20768,
0.200,21353,
0.210,20939,
0.220,21549,
0.230,24416,
0.240,32115,
0.250,43554,
0.260,56201,
0.270,64282,
0.280,64621,
0.290,56751,
0.300,42987,
0.310,28853,
0.320,18532,
0.330,11883,
0.340,8136,
0.350,6520,
0.360,5991,
0.370,5919,
0.380,5822,
0.390,5849,
0.400,5671,
0.410,5653,
0.420,5365,
0.430,5348,
0.440,5340,
0.450,5506,
0.460,5914,
0.470,6598,
0.480,7896,
0.490,9819,
0.500,11900,
0.510,14214,
0.520,15395,
0.530,15423,
0.540,14769,
0.550,13399,
0.560,11492,
0.570,9485,
0.580,7956,
0.590,6599,
0.600,6110,
0.610,5838,
0.620,5904,
0.630,6425,
0.640,6699,
0.650,6792,
0.660,6809,
0.670,6487,
0.680,6208,
0.690,5928,
0.700,5678,
0.710,5475,
0.720,5444,
0.730,5517,
0.740,5429,
0.750,5520,
0.760,5806,
0.770,5772,
0.780,6122,
0.790,6291,
0.800,6645,
0.810,6779,
0.820,6572,
0.830,6683,
0.840,6781,
0.850,6530,
0.860,6992,
0.870,8062,
0.880,9647,
0.890,12066,
0.900,14844,
0.910,17734,
0.920,19569,
0.930,20295,
0.940,19513,
0.950,17691,
0.960,15288,
0.970,12693,
0.980,10292,
0.990,8938,
1.000,7968,
1.010,7511,
1.020,7448,
1.030,7806,
1.040,8950,
1.050,10491,
1.060,12440,
1.070,14831,
1.080,17389,
1.090,19461,
1.100,20396,
1.110,20024,
1.120,18502,
1.130,16572,
1.140,13880,
1.150,11597,
1.160,9648,
1.170,7987,
1.180,7216,
1.190,6568,
1.200,6198,
1.210,6046,
1.220,5993,
1.230,5736,
1.240,5630,
1.250,5586,
1.260,5757,
1.270,5589,
1.280,5599,
1.290,5629,
1.300,5518,
1.310,5692,
1.320,5770,
1.330,5682,
1.340,5865,
1.350,6066,
1.360,6057,
1.370,6168,
1.380,6126,
1.390,6188,
1.400,6065,
1.410,5991,
1.420,6023,
1.430,6002,
1.440,6072,
1.450,5811,
1.460,6043,
1.470,6100,
1.480,6137,
1.490,5929,
1.500,6131,
1.510,5949,
1.520,6184,
1.530,6412,
1.540,6714,
1.550,7138,
1.560,7469,
1.570,8095,
1.580,8545,
