Energy[keV],Count,
0.000,0,
0.010,0,
0.020,0,
0.030,0,
0.040,0,
0.050,0,
0.060,0,
0.070,0,
0.080,0,
0.090,0,
0.100,102,
0.110,2764,
0.120,4130,
0.130,5640,
0.140,7064,
0.150,8830,
0.160,11114,
0.170,13848,
0.180,16384,
0.190,18321,
0.200,18778,
0.210,18309,
0.220,18081,
0.230,20729,
0.240,26622,
0.250,36431,
0.260,46691,
0.270,54435,
0.280,55078,
0.290,47976,
0.300,36716,
0.310,25213,
0.320,15831,
0.330,10306,
0.340,7264,
0.350,5769,
0.360,5305,
0.370,5351,
0.380,5501,
0.390,5418,
0.400,5324,
0.410,4990,
0.420,4762,
0.430,4611,
0.440,4542,
0.450,4734,
0.460,5212,
0.470,6043,
0.480,7401,
0.490,9502,
0.500,11642,
0.510,13537,
0.520,14601,
0.530,13978,
0.540,12740,
0.550,10929,
0.560,9209,
0.570,7453,
0.580,6262,
0.590,5367,
0.600,4697,
0.610,4609,
0.620,4718,
0.630,4754,
0.640,4869,
0.650,5134,
0.660,5170,
0.670,5065,
0.680,4762,
0.690,4871,
0.700,4615,
0.710,4492,
0.720,4487,
0.730,4498,
0.740,4465,
0.750,4591,
0.760,4612,
0.770,4706,
0.780,4842,
0.790,4895,
0.800,5037,
0.810,4997,
0.820,5033,
0.830,4976,
0.840,5060,
0.850,5127,
0.860,5269,
0.870,5593,
0.880,6091,
0.890,6734,
0.900,7798,
0.910,8476,
0.920,8959,
0.930,9281,
0.940,9087,
0.950,8644,
0.960,7808,
0.970,7180,
0.980,6578,
0.990,6267,
1.000,6377,
1.010,6357,
1.020,7036,
1.030,7429,
1.040,8130,
1.050,8852,
1.060,10063,
1.070,11099,
1.080,12495,
1.090,13521,
1.100,13864,
1.110,13644,
1.120,12897,
1.130,11464,
1.140,10120,
1.150,8601,
1.160,7494,
1.170,6636,
1.180,6285,
1.190,5841,
1.200,5509,
1.210,5533,
1.220,5575,
1.230,5342,
1.240,5244,
1.250,5186,
1.260,5182,
1.270,5402,
1.280,5291,
1.290,5288,
1.300,5247,
1.310,5204,
1.320,5439,
1.330,5509,
1.340,5582,
1.350,5688,
1.360,5793,
1.370,6010,
1.380,6005,
1.390,5984,
1.400,5987,
1.410,5936,
1.420,5820,
1.430,5864,
1.440,5547,
1.450,5690,
1.460,5639,
1.470,5659,
1.480,5772,
1.490,5732,
1.500,5790,
1.510,5917,
1.520,6040,
1.530,6481,
1.540,6864,
1.550,7833,
1.560,8657,
1.570,9466,
1.580,10354,
